lakeid,year4,sampledate,sta,depth_range,division,taxa_name,gald,cells_per_nu,nu_per_ml,cells_per_ml,biovolume_conc,biomass_conc,relative_total_biovolume,genus
"SP",2006,2006-08-09 00:00:00,1,"HP 0-bottom","Cryptophyta","Rhodomonas minuta",8.0,1.0,272.6,272.6,9136,0.009,1.44,"Rhodomonas"
"SP",2006,2006-08-09 00:00:00,1,"HP 0-bottom","Cryptophyta","Rhodomonas minuta",12.0,1.0,60.6,60.6,5710,0.006,0.90,"Rhodomonas"
"SP",2006,2006-08-09 00:00:00,1,"HP 0-bottom","Cyanophyta","Aphanocapsa delicatissima",20.0,16.7,151.5,2524.4,1322,0.001,0.21,"Aphanocapsa"
"SP",2006,2006-08-09 00:00:00,1,"HP 0-bottom","Cyanophyta","Aphanocapsa elachista",20.0,30.0,30.3,908.8,1606,0.002,0.25,"Aphanocapsa"
"SP",2006,2006-08-09 00:00:00,1,"HP 0-bottom","Cyanophyta","Aphanothece nidulans",30.2,36.9,2544.6,93894.1,98326,0.098,15.54,"Aphanothece"
"SP",2006,2006-08-09 00:00:00,1,"HP 0-bottom","Cyanophyta","Cylindrospermopsis raciborskii",90.0,15.0,30.3,454.4,8565,0.009,1.35,"Cylindrospermopsis"
"SP",2006,2006-08-09 00:00:00,1,"HP 0-bottom","Cyanophyta","Limnothrix redekei",78.0,13.0,90.9,1181.4,22269,0.022,3.52,"Limnothrix"
"SP",2006,2006-08-09 00:00:00,1,"HP 0-bottom","Cyanophyta","Oscillatoria limnetica",72.0,18.0,515.0,9269.4,65522,0.066,10.36,"Oscillatoria"
"SP",2006,2006-08-09 00:00:00,1,"HP 0-bottom","Cyanophyta","Oscillatoria limnetica",43.3,10.8,212.0,2297.2,16238,0.016,2.57,"Oscillatoria"
"SP",2006,2006-08-09 00:00:00,1,"HP 0-bottom","Cyanophyta","Pseudanabaena galeata",20.0,6.7,30.3,201.9,1071,0.001,0.17,"Pseudanabaena"
"SP",2006,2006-08-09 00:00:00,1,"HP 0-bottom","Cyanophyta","Synechococcus elongatus",2.3,1.0,1363.2,1363.2,1606,0.002,0.25,"Synechococcus"
"SP",2006,2006-08-09 00:00:00,1,"HP 0-bottom","Cyanophyta","Synechocystis ",1.3,1.0,8996.8,8996.8,11423,0.011,1.81,"Synechocystis"
"SP",2006,2006-08-09 00:00:00,1,"HP 0-bottom","Euglenophyta","Trachelomonas volvocina",20.0,1.0,60.6,60.6,54816,0.055,8.66,"Trachelomonas"
"SP",2006,2006-08-09 00:00:00,1,"HP 0-bottom","Miscellaneous",,4.0,1.0,60.6,60.6,1832,0.002,0.29,
"SP",2006,2006-10-30 00:00:00,1,"HP 0-bottom","Bacillariophyta","Cyclotella distinguenda",5.0,1.0,1794.8,1794.8,88103,0.088,19.21,"Cyclotella"
"SP",2006,2006-10-30 00:00:00,1,"HP 0-bottom","Bacillariophyta","Stephanodiscus medius",20.0,1.0,4.4,4.4,13788,0.014,3.01,"Stephanodiscus"
"SP",2006,2006-10-30 00:00:00,1,"HP 0-bottom","Bacillariophyta","Synedra filiformis",100.0,1.0,22.7,22.7,36351,0.036,7.93,"Synedra"
"SP",2006,2006-10-30 00:00:00,1,"HP 0-bottom","Chlorophyta","Chlorophyta",6.0,1.0,22.7,22.7,2401,0.002,0.52,
"SP",2006,2006-10-30 00:00:00,1,"HP 0-bottom","Chlorophyta","Ankistrodesmus falcatus",20.0,1.0,22.7,22.7,428,0.000,0.09,"Ankistrodesmus"
"SP",2006,2006-10-30 00:00:00,1,"HP 0-bottom","Chlorophyta","Chlamydomonas ",7.0,1.0,45.4,45.4,7574,0.008,1.65,"Chlamydomonas"
"SP",2006,2006-10-30 00:00:00,1,"HP 0-bottom","Chlorophyta","Closterium moniliferum",120.0,1.0,4.4,4.4,2155,0.002,0.47,"Closterium"
"SP",2006,2006-10-30 00:00:00,1,"HP 0-bottom","Chlorophyta","Monomastix astigmata",4.0,1.0,45.4,45.4,428,0.000,0.09,"Monomastix"
"SP",2006,2006-10-30 00:00:00,1,"HP 0-bottom","Chlorophyta","Monoraphidium capricornutum",4.0,1.0,68.2,68.2,532,0.001,0.12,"Monoraphidium"
"SP",2006,2006-10-30 00:00:00,1,"HP 0-bottom","Chlorophyta","Quadrigula lacustris",24.0,1.0,22.7,22.7,609,0.001,0.13,"Quadrigula"
"SP",2006,2006-10-30 00:00:00,1,"HP 0-bottom","Chrysophyta","Dinobryon ",6.0,1.0,636.1,636.1,49962,0.050,10.89,"Dinobryon"
"SP",2006,2006-10-30 00:00:00,1,"HP 0-bottom","Chrysophyta","Dinobryon bavaricum",84.0,1.0,22.7,22.7,5948,0.006,1.30,"Dinobryon"
"SP",2006,2006-10-30 00:00:00,1,"HP 0-bottom","Chrysophyta","Dinobryon bavaricum",216.0,2.0,4.4,8.8,1379,0.001,0.30,"Dinobryon"
"SP",2006,2006-10-30 00:00:00,1,"HP 0-bottom","Chrysophyta","Erkenia subaequiciliata",4.0,1.0,1544.9,1544.9,46723,0.047,10.19,"Erkenia"
"SP",2006,2006-10-30 00:00:00,1,"HP 0-bottom","Chrysophyta","Gonyostomum semen",32.0,1.0,4.4,4.4,21179,0.021,4.62,"Gonyostomum"
"SP",2006,2006-10-30 00:00:00,1,"HP 0-bottom","Chrysophyta","Mallomonas ",24.0,1.0,22.7,22.7,41112,0.041,8.96,"Mallomonas"
"SP",2006,2006-10-30 00:00:00,1,"HP 0-bottom","Cryptophyta","Cryptomonas erosa",24.0,1.0,22.7,22.7,20556,0.021,4.48,"Cryptomonas"
"SP",2006,2006-10-30 00:00:00,1,"HP 0-bottom","Cryptophyta","Rhodomonas minuta",9.0,1.0,45.4,45.4,2677,0.003,0.58,"Rhodomonas"
"SP",2006,2006-10-30 00:00:00,1,"HP 0-bottom","Cryptophyta","Rhodomonas minuta",12.0,1.0,22.7,22.7,2569,0.003,0.56,"Rhodomonas"
"SP",2006,2006-10-30 00:00:00,1,"HP 0-bottom","Cyanophyta","Limnothrix redekei",160.0,26.7,90.9,2423.4,45680,0.046,9.96,"Limnothrix"
"SP",2006,2006-10-30 00:00:00,1,"HP 0-bottom","Cyanophyta","Oscillatoria limnetica",177.5,44.4,113.6,5040.8,35632,0.036,7.77,"Oscillatoria"
"SP",2006,2006-10-30 00:00:00,1,"HP 0-bottom","Cyanophyta","Oscillatoria limnetica",116.0,29.0,45.4,1317.7,9314,0.009,2.03,"Oscillatoria"
"SP",2006,2006-10-30 00:00:00,1,"HP 0-bottom","Cyanophyta","Synechococcus elongatus",2.3,1.0,3816.8,3816.8,4663,0.005,1.02,"Synechococcus"
"SP",2006,2006-10-30 00:00:00,1,"HP 0-bottom","Cyanophyta","Synechocystis ",1.1,1.0,15812.6,15812.6,12212,0.012,2.66,"Synechocystis"
"SP",2006,2006-10-30 00:00:00,1,"HP 0-bottom","Euglenophyta","Trachelomonas volvocina",20.0,1.0,4.4,4.4,6306,0.006,1.37,"Trachelomonas"
"SP",2006,2006-10-30 00:00:00,1,"HP 0-bottom","Pyrrhophyta","Gymnodinium sp 3",8.0,1.0,4.4,4.4,331,0.000,0.07,"Gymnodinium"
"TB",2005,2005-04-18 00:00:00,1,"Int 0-2m","Bacillariophyta","Asterionella formosa",80.0,1.0,6.1,6.1,7755,0.008,1.10,"Asterionella"
"TB",2005,2005-04-18 00:00:00,1,"Int 0-2m","Bacillariophyta","Cyclotella ocellata",9.2,1.0,169.6,169.6,56810,0.057,8.05,"Cyclotella"
"TB",2005,2005-04-18 00:00:00,1,"Int 0-2m","Bacillariophyta","Stephanodiscus hantzschii",12.0,1.0,6.1,6.1,4111,0.004,0.58,"Stephanodiscus"
"TB",2005,2005-04-18 00:00:00,1,"Int 0-2m","Bacillariophyta","Tabellaria flocculosa",48.0,1.0,6.1,6.1,13959,0.014,1.98,"Tabellaria"
"TB",2005,2005-04-18 00:00:00,1,"Int 0-2m","Chlorophyta","Chlamydomonas ",9.0,1.0,1308.6,1308.6,554959,0.555,78.67,"Chlamydomonas"
"TB",2005,2005-04-18 00:00:00,1,"Int 0-2m","Chlorophyta","Eudorina elegans",24.0,16.0,4.4,70.2,16990,0.017,2.41,"Eudorina"
"TB",2005,2005-04-18 00:00:00,1,"Int 0-2m","Chlorophyta","Monoraphidium capricornutum",4.0,1.0,6.1,6.1,47,0.000,0.01,"Monoraphidium"
"TB",2005,2005-04-18 00:00:00,1,"Int 0-2m","Chlorophyta","Schroederia judayi",45.0,1.0,36.4,36.4,1218,0.001,0.17,"Schroederia"
"TB",2005,2005-04-18 00:00:00,1,"Int 0-2m","Chrysophyta","Chrysophyceae",6.0,1.0,12.1,12.1,1281,0.001,0.18,
"TB",2005,2005-04-18 00:00:00,1,"Int 0-2m","Chrysophyta","Chromulina ",4.0,1.0,6.1,6.1,203,0.000,0.03,"Chromulina"
"TB",2005,2005-04-18 00:00:00,1,"Int 0-2m","Chrysophyta","Erkenia subaequiciliata",4.0,1.0,18.2,18.2,550,0.001,0.08,"Erkenia"
"TB",2005,2005-04-18 00:00:00,1,"Int 0-2m","Cryptophyta","Cryptomonas erosa",24.0,1.0,18.2,18.2,29235,0.029,4.14,"Cryptomonas"
"TB",2005,2005-04-18 00:00:00,1,"Int 0-2m","Cryptophyta","Rhodomonas minuta",6.0,1.0,36.4,36.4,1218,0.001,0.17,"Rhodomonas"
"TB",2005,2005-04-18 00:00:00,1,"Int 0-2m","Cyanophyta","Aphanocapsa elachista",10.0,20.0,12.1,242.3,428,0.000,0.06,"Aphanocapsa"
"TB",2005,2005-04-18 00:00:00,1,"Int 0-2m","Cyanophyta","Synechococcus elongatus",3.0,1.0,5452.6,5452.6,8565,0.009,1.21,"Synechococcus"
"TB",2005,2005-04-18 00:00:00,1,"Int 0-2m","Pyrrhophyta","Peridinium umbonatum",20.0,1.0,6.1,6.1,8121,0.008,1.15,"Peridinium"
"TB",2005,2005-08-08 00:00:00,1,"Int 0-2m","Bacillariophyta","Aulacoseira ambigua",200.0,2.0,4.4,8.8,141192,0.141,19.29,"Aulacoseira"
"TB",2005,2005-08-08 00:00:00,1,"Int 0-2m","Chlorophyta","Chlorococcaceae",4.0,1.0,72.7,72.7,2436,0.002,0.33,
"TB",2005,2005-08-08 00:00:00,1,"Int 0-2m","Chlorophyta","Ankistrodesmus falcatus",22.0,1.0,18.2,18.2,537,0.001,0.07,"Ankistrodesmus"
"TB",2005,2005-08-08 00:00:00,1,"Int 0-2m","Chlorophyta","Chlamydomonas ",6.5,1.0,27.3,27.3,3683,0.004,0.50,"Chlamydomonas"
"TB",2005,2005-08-08 00:00:00,1,"Int 0-2m","Chlorophyta","Monomastix astigmata",5.0,1.0,27.3,27.3,321,0.000,0.04,"Monomastix"
"TB",2005,2005-08-08 00:00:00,1,"Int 0-2m","Chlorophyta","Oocystis parva",11.8,1.3,190.8,248.1,45905,0.046,6.27,"Oocystis"
"TB",2005,2005-08-08 00:00:00,1,"Int 0-2m","Chlorophyta","Scourfieldia cordiformis",4.5,1.0,599.8,599.8,28541,0.029,3.90,"Scourfieldia"
"TB",2005,2005-08-08 00:00:00,1,"Int 0-2m","Chrysophyta","Dinobryon ",6.0,1.0,340.8,340.8,36016,0.036,4.92,"Dinobryon"
"TB",2005,2005-08-08 00:00:00,1,"Int 0-2m","Chrysophyta","Dinobryon bavaricum",50.0,1.0,45.4,45.4,4758,0.005,0.65,"Dinobryon"
"TB",2005,2005-08-08 00:00:00,1,"Int 0-2m","Chrysophyta","Dinobryon divergens",30.0,1.0,9.1,9.1,952,0.001,0.13,"Dinobryon"
"TB",2005,2005-08-08 00:00:00,1,"Int 0-2m","Chrysophyta","Erkenia subaequiciliata",4.0,1.0,81.8,81.8,2474,0.003,0.34,"Erkenia"
"TB",2005,2005-08-08 00:00:00,1,"Int 0-2m","Chrysophyta","Mallomonas ",12.0,1.0,18.2,18.2,7309,0.007,1.00,"Mallomonas"
"TB",2005,2005-08-08 00:00:00,1,"Int 0-2m","Cryptophyta","Cryptomonas erosa",25.4,1.0,309.0,309.0,410410,0.410,56.07,"Cryptomonas"
"TB",2005,2005-08-08 00:00:00,1,"Int 0-2m","Cryptophyta","Cryptomonas lucens",10.0,1.0,9.1,9.1,856,0.001,0.12,"Cryptomonas"
"TB",2005,2005-08-08 00:00:00,1,"Int 0-2m","Cryptophyta","Rhodomonas minuta",8.0,1.0,236.3,236.3,7423,0.007,1.01,"Rhodomonas"
"TB",2005,2005-08-08 00:00:00,1,"Int 0-2m","Cyanophyta","Chroococcus minutus",10.0,2.0,9.1,18.2,1028,0.001,0.14,"Chroococcus"
"TB",2005,2005-08-08 00:00:00,1,"Int 0-2m","Cyanophyta","Synechococcus elongatus",2.0,1.0,23446.3,23446.3,24553,0.025,3.35,"Synechococcus"
"TB",2005,2005-08-08 00:00:00,1,"Int 0-2m","Miscellaneous",,5.0,1.0,18.2,18.2,1180,0.001,0.16,
"TB",2005,2005-08-08 00:00:00,1,"Int 0-2m","Pyrrhophyta","Gymnodinium sp 2",16.0,1.0,18.2,18.2,10963,0.011,1.50,"Gymnodinium"
"TB",2005,2005-08-08 00:00:00,1,"Int 0-2m","Pyrrhophyta","Gymnodinium sp 3",8.0,1.0,18.2,18.2,1370,0.001,0.19,"Gymnodinium"
"TB",2005,2005-11-17 00:00:00,1,"Int 0-2m","Bacillariophyta","Aulacoseira ambigua",24.0,1.0,9.1,9.1,10963,0.011,0.85,"Aulacoseira"
"TB",2005,2005-11-17 00:00:00,1,"Int 0-2m","Bacillariophyta","Cyclotella meneghiniana",12.0,1.0,9.1,9.1,6167,0.006,0.48,"Cyclotella"
"TB",2005,2005-11-17 00:00:00,1,"Int 0-2m","Bacillariophyta","Diploneis ",40.0,1.0,4.5,4.5,18272,0.018,1.42,"Diploneis"
"TB",2005,2005-11-17 00:00:00,1,"Int 0-2m","Bacillariophyta","Fragilaria construens",10.0,2.0,4.5,9.1,1142,0.001,0.09,"Fragilaria"
"TB",2005,2005-11-17 00:00:00,1,"Int 0-2m","Bacillariophyta","Stephanodiscus medius",16.0,1.0,9.1,9.1,14618,0.015,1.14,"Stephanodiscus"
"TB",2005,2005-11-17 00:00:00,1,"Int 0-2m","Bacillariophyta","Stephanodiscus niagarae",40.0,1.0,9.1,9.1,228399,0.228,17.77,"Stephanodiscus"
"TB",2005,2005-11-17 00:00:00,1,"Int 0-2m","Bacillariophyta","Stephanodiscus parvus",8.0,1.0,9.1,9.1,1827,0.002,0.14,"Stephanodiscus"
"TB",2005,2005-11-17 00:00:00,1,"Int 0-2m","Chlorophyta","Chlorococcaceae",4.0,1.0,4.5,4.5,152,0.000,0.01,
"TB",2005,2005-11-17 00:00:00,1,"Int 0-2m","Chlorophyta","Chlamydomonas ",8.0,1.0,4.5,4.5,1158,0.001,0.09,"Chlamydomonas"
"TB",2005,2005-11-17 00:00:00,1,"Int 0-2m","Chlorophyta","Monomastix astigmata",4.0,1.0,13.6,13.6,128,0.000,0.01,"Monomastix"
"TB",2005,2005-11-17 00:00:00,1,"Int 0-2m","Chlorophyta","Scourfieldia cordiformis",4.5,1.0,22.7,22.7,1081,0.001,0.08,"Scourfieldia"
"TB",2005,2005-11-17 00:00:00,1,"Int 0-2m","Chrysophyta","Chrysophyceae",6.0,1.0,9.1,9.1,960,0.001,0.07,
"TB",2005,2005-11-17 00:00:00,1,"Int 0-2m","Chrysophyta","Chrysococcus minutus",6.0,1.0,4.5,4.5,137,0.000,0.01,"Chrysococcus"
"TB",2005,2005-11-17 00:00:00,1,"Int 0-2m","Chrysophyta","Dinobryon cyst",10.0,1.0,9.1,9.1,5133,0.005,0.40,"Dinobryon"
"TB",2005,2005-11-17 00:00:00,1,"Int 0-2m","Chrysophyta","Erkenia subaequiciliata",4.0,1.0,4.5,4.5,137,0.000,0.01,"Erkenia"
"TB",2005,2005-11-17 00:00:00,1,"Int 0-2m","Chrysophyta","Mallomonas ",12.0,1.0,4.5,4.5,3975,0.004,0.31,"Mallomonas"
"TB",2005,2005-11-17 00:00:00,1,"Int 0-2m","Cryptophyta","Cryptomonas erosa",28.0,1.0,631.6,631.6,979805,0.980,76.21,"Cryptomonas"
"TB",2005,2005-11-17 00:00:00,1,"Int 0-2m","Cryptophyta","Rhodomonas minuta",8.0,1.0,13.6,13.6,457,0.001,0.04,"Rhodomonas"
"TB",2005,2005-11-17 00:00:00,1,"Int 0-2m","Cyanophyta","Synechococcus elongatus",2.0,1.0,5452.6,5452.6,5710,0.006,0.44,"Synechococcus"
"TB",2005,2005-11-17 00:00:00,1,"Int 0-2m","Cyanophyta","Synechocystis ",1.0,1.0,3635.1,3635.1,1903,0.002,0.15,"Synechocystis"
"TB",2005,2005-11-17 00:00:00,1,"Int 0-2m","Miscellaneous",,3.0,1.0,52.4,52.4,731,0.001,0.06,
"TB",2005,2005-11-17 00:00:00,1,"Int 0-2m","Pyrrhophyta","Gymnodinium sp 2",16.0,1.0,4.5,4.5,2741,0.003,0.21,"Gymnodinium"
"TR",2005,2005-04-21 00:00:00,2,"HP 0-bottom","Bacillariophyta","Aulacoseira ambigua",160.0,4.7,27.3,127.2,191855,0.192,11.77,"Aulacoseira"
"TR",2005,2005-04-21 00:00:00,2,"HP 0-bottom","Bacillariophyta","Cyclostephanos tholiformis",8.0,1.0,272.6,272.6,54816,0.055,3.36,"Cyclostephanos"
"TR",2005,2005-04-21 00:00:00,2,"HP 0-bottom","Bacillariophyta","Cyclotella bodanica",24.0,1.0,4.4,4.4,23826,0.024,1.46,"Cyclotella"
"TR",2005,2005-04-21 00:00:00,2,"HP 0-bottom","Bacillariophyta","Cyclotella ocellata",6.7,1.0,81.8,81.8,10107,0.010,0.62,"Cyclotella"
"TR",2005,2005-04-21 00:00:00,2,"HP 0-bottom","Bacillariophyta","Cyclotella sp 1",5.0,1.0,518.0,518.0,25427,0.025,1.56,"Cyclotella"
"TR",2005,2005-04-21 00:00:00,2,"HP 0-bottom","Bacillariophyta","Fragilaria crotonensis",87.0,5.5,54.5,299.9,471757,0.472,28.94,"Fragilaria"
"TR",2005,2005-04-21 00:00:00,2,"HP 0-bottom","Bacillariophyta","Stephanodiscus niagarae",50.0,1.0,4.4,4.4,241294,0.241,14.80,"Stephanodiscus"
"TR",2005,2005-04-21 00:00:00,2,"HP 0-bottom","Bacillariophyta","Surirella visurgis",60.0,1.0,27.3,27.3,164447,0.164,10.09,"Surirella"
"CR",2006,2006-06-15 00:00:00,1,"HP 0-bottom","Chlorophyta","Arthrodesmus incus",24.0,1.0,36.4,36.4,16426,0.016,1.50,"Arthrodesmus"
"CR",2006,2006-06-15 00:00:00,1,"HP 0-bottom","Chlorophyta","Arthrodesmus octocornis",28.0,1.0,36.4,36.4,14618,0.015,1.33,"Arthrodesmus"
"CR",2006,2006-06-15 00:00:00,1,"HP 0-bottom","Chlorophyta","Cosmarium tenue",8.0,1.0,490.7,490.7,32889,0.033,3.00,"Cosmarium"
"CR",2006,2006-06-15 00:00:00,1,"HP 0-bottom","Chlorophyta","Monomastix astigmata",4.0,1.0,54.5,54.5,514,0.001,0.05,"Monomastix"
"CR",2006,2006-06-15 00:00:00,1,"HP 0-bottom","Chlorophyta","Quadrigula lacustris",25.0,1.8,581.6,1017.8,12059,0.012,1.10,"Quadrigula"
"CR",2006,2006-06-15 00:00:00,1,"HP 0-bottom","Chlorophyta","Sphaerocystis schroeteri",30.0,6.0,4.4,26.3,7060,0.007,0.64,"Sphaerocystis"
"CR",2006,2006-06-15 00:00:00,1,"HP 0-bottom","Chrysophyta","Chromulina ",4.5,1.0,163.6,163.6,10406,0.010,0.95,"Chromulina"
"CR",2006,2006-06-15 00:00:00,1,"HP 0-bottom","Chrysophyta","Chrysolykos planctonicus",16.0,1.0,54.5,54.5,1028,0.001,0.09,"Chrysolykos"
"CR",2006,2006-06-15 00:00:00,1,"HP 0-bottom","Chrysophyta","Dinobryon ",6.0,1.0,218.1,218.1,17130,0.017,1.56,"Dinobryon"
"CR",2006,2006-06-15 00:00:00,1,"HP 0-bottom","Chrysophyta","Dinobryon bavaricum",90.0,2.0,18.2,36.4,4758,0.005,0.43,"Dinobryon"
"CR",2006,2006-06-15 00:00:00,1,"HP 0-bottom","Chrysophyta","Dinobryon bavaricum",50.0,1.0,327.2,327.2,34260,0.034,3.13,"Dinobryon"
"CR",2006,2006-06-15 00:00:00,1,"HP 0-bottom","Chrysophyta","Dinobryon dialatatum",24.0,1.0,36.4,36.4,2855,0.003,0.26,"Dinobryon"
"CR",2006,2006-06-15 00:00:00,1,"HP 0-bottom","Chrysophyta","Dinobryon divergens",144.0,3.0,4.4,13.2,2482,0.003,0.23,"Dinobryon"
"CR",2006,2006-06-15 00:00:00,1,"HP 0-bottom","Chrysophyta","Erkenia subaequiciliata",4.0,1.0,109.1,109.1,3298,0.003,0.30,"Erkenia"
"CR",2006,2006-06-15 00:00:00,1,"HP 0-bottom","Chrysophyta","Kephyrion planctonicum",8.0,1.0,54.5,54.5,1028,0.001,0.09,"Kephyrion"
"CR",2006,2006-06-15 00:00:00,1,"HP 0-bottom","Chrysophyta","Kephyrion skujae",8.0,1.0,18.2,18.2,343,0.000,0.03,"Kephyrion"
"CR",2006,2006-06-15 00:00:00,1,"HP 0-bottom","Chrysophyta","Mallomonas ",14.0,1.0,36.4,36.4,26647,0.027,2.43,"Mallomonas"
"CR",2006,2006-06-15 00:00:00,1,"HP 0-bottom","Cryptophyta","Cryptomonas rostratiformis",48.0,1.0,4.4,4.4,22061,0.022,2.01,"Cryptomonas"
"CR",2006,2006-06-15 00:00:00,1,"HP 0-bottom","Cryptophyta","Rhodomonas minuta",8.5,1.0,109.1,109.1,3654,0.004,0.33,"Rhodomonas"
"CR",2006,2006-06-15 00:00:00,1,"HP 0-bottom","Cyanophyta","Synechocystis ",1.0,1.0,1090.5,1090.5,571,0.001,0.05,"Synechocystis"
"CR",2006,2006-06-15 00:00:00,1,"HP 0-bottom","Pyrrhophyta","Gymnodinium sp 3",8.0,1.0,18.2,18.2,1759,0.002,0.16,"Gymnodinium"
"CR",2006,2006-06-15 00:00:00,1,"HP 0-bottom","Pyrrhophyta","Peridinium limbatum",80.0,1.0,18.2,18.2,721055,0.721,65.81,"Peridinium"
"CR",2006,2006-06-15 00:00:00,1,"HP 0-bottom","Pyrrhophyta","Peridinium umbonatum",12.0,1.0,18.2,18.2,5710,0.006,0.52,"Peridinium"
"CR",2006,2006-07-13 00:00:00,1,"HP 0-bottom","Bacillariophyta","Asterionella formosa",55.5,1.5,36.4,54.5,42894,0.043,7.06,"Asterionella"
"CR",2006,2006-07-13 00:00:00,1,"HP 0-bottom","Bacillariophyta","Synedra filiformis",72.4,1.2,54.5,65.4,23097,0.023,3.80,"Synedra"
"CR",2006,2006-07-13 00:00:00,1,"HP 0-bottom","Chlorophyta","Chlorococcaceae",6.0,1.0,9.1,9.1,1028,0.001,0.17,
"CR",2006,2006-07-13 00:00:00,1,"HP 0-bottom","Chlorophyta","Ankistrodesmus falcatus",30.0,1.0,18.2,18.2,514,0.001,0.08,"Ankistrodesmus"
"CR",2006,2006-07-13 00:00:00,1,"HP 0-bottom","Chlorophyta","Arthrodesmus incus",40.0,1.0,18.2,18.2,8394,0.008,1.38,"Arthrodesmus"
"CR",2006,2006-07-13 00:00:00,1,"HP 0-bottom","Chlorophyta","Arthrodesmus octocornis",40.0,1.0,18.2,18.2,7309,0.007,1.20,"Arthrodesmus"
"CR",2006,2006-07-13 00:00:00,1,"HP 0-bottom","Chlorophyta","Chlamydomonas ",8.0,1.0,9.1,9.1,1370,0.001,0.23,"Chlamydomonas"
"CR",2006,2006-07-13 00:00:00,1,"HP 0-bottom","Chlorophyta","Cosmarium tenue",12.0,1.0,36.4,36.4,8222,0.008,1.35,"Cosmarium"
"CR",2006,2006-07-13 00:00:00,1,"HP 0-bottom","Chlorophyta","Dictyosphaerium chlorelloides",16.0,4.0,9.1,36.4,685,0.001,0.11,"Dictyosphaerium"
"CR",2006,2006-07-13 00:00:00,1,"HP 0-bottom","Chlorophyta","Monomastix astigmata",3.0,1.0,18.2,18.2,128,0.000,0.02,"Monomastix"
"CR",2006,2006-07-13 00:00:00,1,"HP 0-bottom","Chlorophyta","Quadrigula lacustris",19.2,1.1,1690.3,1859.3,24463,0.025,4.03,"Quadrigula"
"CR",2006,2006-07-13 00:00:00,1,"HP 0-bottom","Chlorophyta","Staurastrum paradoxum",52.0,1.0,2.2,2.2,3017,0.003,0.50,"Staurastrum"
"CR",2006,2006-07-13 00:00:00,1,"HP 0-bottom","Chrysophyta","Chromulina ",4.0,1.0,590.7,590.7,19795,0.020,3.26,"Chromulina"
"CR",2006,2006-07-13 00:00:00,1,"HP 0-bottom","Chrysophyta","Chrysolykos planctonicus",16.0,1.0,9.1,9.1,171,0.000,0.03,"Chrysolykos"
"CR",2006,2006-07-13 00:00:00,1,"HP 0-bottom","Chrysophyta","Dinobryon ",6.0,1.0,136.3,136.3,10706,0.011,1.76,"Dinobryon"
"CR",2006,2006-07-13 00:00:00,1,"HP 0-bottom","Chrysophyta","Dinobryon bavaricum",50.0,1.0,109.1,109.1,12134,0.012,2.00,"Dinobryon"
"CR",2006,2006-07-13 00:00:00,1,"HP 0-bottom","Chrysophyta","Dinobryon bavaricum",91.0,1.5,18.2,27.3,4435,0.004,0.73,"Dinobryon"
"CR",2006,2006-07-13 00:00:00,1,"HP 0-bottom","Chrysophyta","Erkenia subaequiciliata",4.0,1.0,45.4,45.4,1374,0.001,0.23,"Erkenia"
"CR",2006,2006-07-13 00:00:00,1,"HP 0-bottom","Chrysophyta","Kephyrion planctonicum",8.0,1.0,9.1,9.1,171,0.000,0.03,"Kephyrion"
"CR",2006,2006-07-13 00:00:00,1,"HP 0-bottom","Chrysophyta","Stichogloea olivacea",9.0,1.5,27.3,40.9,4322,0.004,0.71,"Stichogloea"
"CR",2006,2006-07-13 00:00:00,1,"HP 0-bottom","Cryptophyta","Cryptomonas erosa",18.0,1.0,18.2,18.2,13019,0.013,2.14,"Cryptomonas"
"CR",2006,2006-07-13 00:00:00,1,"HP 0-bottom","Cryptophyta","Rhodomonas minuta",6.0,1.0,45.4,45.4,1332,0.001,0.22,"Rhodomonas"
"CR",2006,2006-07-13 00:00:00,1,"HP 0-bottom","Cyanophyta","Synechocystis ",1.0,1.0,1363.2,1363.2,714,0.001,0.12,"Synechocystis"
"CR",2006,2006-07-13 00:00:00,1,"HP 0-bottom","Pyrrhophyta","Gymnodinium sp 3",8.0,1.0,18.2,18.2,1370,0.001,0.23,"Gymnodinium"
"CR",2006,2006-07-13 00:00:00,1,"HP 0-bottom","Pyrrhophyta","Peridinium limbatum",80.0,1.0,9.1,9.1,416809,0.417,68.61,"Peridinium"
"CR",2006,2006-08-10 00:00:00,1,"HP 0-bottom","Bacillariophyta","Caloneis ",56.0,1.0,13.0,13.0,18272,0.018,1.00,"Caloneis"
"CR",2006,2006-08-10 00:00:00,1,"HP 0-bottom","Bacillariophyta","Synedra filiformis",76.7,1.0,38.9,38.9,16488,0.017,0.90,"Synedra"
"CR",2006,2006-08-10 00:00:00,1,"HP 0-bottom","Chlorophyta","Chlorococcaceae",3.0,1.0,38.9,38.9,551,0.001,0.03,
"CR",2006,2006-08-10 00:00:00,1,"HP 0-bottom","Chlorophyta","Arthrodesmus incus",40.0,1.0,13.0,13.0,4996,0.005,0.27,"Arthrodesmus"
"CR",2006,2006-08-10 00:00:00,1,"HP 0-bottom","Chlorophyta","Chlamydomonas ",4.5,1.0,26.0,26.0,1236,0.001,0.07,"Chlamydomonas"
"CR",2006,2006-08-10 00:00:00,1,"HP 0-bottom","Chlorophyta","Cosmarium tenue",8.0,1.0,64.9,64.9,6798,0.007,0.37,"Cosmarium"
